Patent,PC,Normalized Assignee,Family ID,Grouping,Priority Date,Priority Year,Est. Expiration Date,Title,Abstract,First Claim Word Count,PatentStrength,HML,Notes
7661129,PC,"Citrix Systems, Inc.",27753279,Other Topics,2/26/2002,2002,7/18/2024,Secure traversal of network components,A method and apparatus for authenticating a client to a content server. A ticket authority generates a ticket associated with the client. The ticket comprises a first ticket and a second ticket. The ticket authority transmits the first ticket to the client and the client uses the first ticket to establish a communication session with an content server proxy. The ticket authority then transmits a second ticket to the content server proxy and the content server proxy uses the second ticket to establish a communication session with the content server.,149,93,,
8135843,PC,"Citrix Systems, Inc.",28040721,Graphical User Interface/Communication Channel,3/22/2002,2002,5/12/2028,Methods and systems for providing access to an application,The invention enables the publishing of a graphical user interface application on the web in a manner so that they can be discovered by manual or automatic searches. The invention includes the step of receiving a service access point (SAP) from a web service directory. The SAP is associated with a first application and identifies a web server. The invention also includes the step of retrieving address information associated with the first application from the web server identified by the SAP and launching a second application. The second application establishes a communication channel with an application server identified by the retrieved address information. The application server subsequently executes the first application and returns information to the second application.,120,93,,
7290061,PC,"Citrix Systems, Inc.",27360632,Other Topics,12/5/2000,2000,3/29/2024,System and method for internet content collaboration,A system for collaborative exchange of Web based content information between and among disparate and unrelated content sources includes a content server and a server appliance electronically disposed between the content server and a network which terminates HTTP sessions directed to the content server and initiates a HTTP session with the content server as a proxy. A content collaboration engine hosted on the server appliance suitably includes a content recognition engine which receives content from the server converts received content to DOM and classifies content in accordance with XML recognition rules. A content mapping engine extracts content definition fields from classified content and requests related content from collaborating sites the requested content having content definition fields including values substantially the same as the extracted content definition fields. A content category structure defines the format for categorizing all content sources collaborating in the exchange of content within a consortium. A request for information protocol defines a format for identifying valid content fields a content provider can be queried against in order to identify and recover content from a specific category categorized by the content category structure definition. The content category structure also identifies members of the consortium against which queries may be directed.,211,93,,
8131816,PC,"Citrix Systems, Inc.",28039321,Other Topics,3/14/2002,2002,12/5/2027,Methods and apparatus for generating graphical and media displays at a client,The invention generally relates to generating a display having graphical and/or media components at a client. In one aspect a method for generating a graphical display at a client includes transmitting output from an application program executing on a server to the client identifying a non-textual element within the application output retrieving a compressed data format associated with the non-textual element and transmitting to the client the compressed data format in place of the non-textual element. In another aspect a method for generating a media presentation at a client includes transmitting output from an application program executing on a server to the client identifying a media stream within the application output intercepting an original compressed data set representing at least a portion of the media stream before processing by the application program and transmitting the original compressed data set to the client.,95,93,,see family
7555529,PC,"Citrix Systems, Inc.",27736795,Software Application/Virtual Channel,11/13/1995,1995,2/4/2019,Interacting with software applications displayed in a web page,The invention enables the display of application-output data within application-output windows embedded in a web browser window. The application-output windows can be dynamically moved resized and otherwise manipulated within the web browser window even when the application program providing the source of the application-output data is non-web enabled (e.g. legacy applications). The invention receives window attribute information associated with the application-output windows via a first virtual channel and displays application-output data received via a second virtual channel within the application-output windows which are formed and/or modified using the window attribute information.,176,93,?,remote desktop channel w/o browser intervention
7330872,PC,"Citrix Systems, Inc.",25516983,Other Topics,10/2/2001,2001,1/29/2023,Method for distributed program execution with web-based file-type association,In one aspect the invention relates to a method for enabling distributed program execution in a network that includes a client system and a plurality of server systems. The method includes the step of presenting a graphical depiction of a data file that is stored on a web server. A request to execute a first executable program that includes information concerning a second executable program associated with the data file is reviewed. The second program can execute with on the client system or one of a plurality of server systems. Application output data from the second executable program is reviewed and formatted by the first executable program and received application output data is presented to the user.,163,93,,
7376695,PC,"Citrix Systems, Inc.",28039321,Other Topics,3/14/2002,2002,10/23/2025,Method and system for generating a graphical display for a remote terminal session,In one aspect the invention relates to a method for generating a graphical display for a remote terminal session. The method includes monitoring output produced by an application program executing on a server identifying a bitmap representation within the output produced by the application program and determining a check value for the bitmap representation. The method also includes retrieving a compressed data format of the bitmap representation based at least in part on the check value and transmitting to the remote terminal session the compressed data format in place of the bitmap representation.,67,93,H?,remote desktop serves sends text uncompressed and non-text compressed
7194743,PC,"Citrix Systems, Inc.",26944358,Other Topics,12/12/2000,2000,5/11/2023,Methods and apparatus for communicating changes between a user interface and an executing application using property paths,In one aspect the invention relates to a method of associating an element of a user-interface to a current state of a property in a system including an application having a plurality of components wherein at least one component has a property wherein each property is identified with an identifier. The method comprises associating the element of the user-interface with a property path the property path including a concatenation of a plurality of identifiers the concatenation of identifiers defining a path through the components of the application to a property at the end of the concatenation and mapping the property path to a current state of the property at the end of the path defined by the concatenation of identifiers to associate the element of the user-interface with the current state of that property.,308,92,,
6928469,PC,"Citrix Systems, Inc.",27381447,Client Node/User Credentials,12/29/1998,1998,2/18/2019,Apparatus and method for determining a program neighborhood for a client node in a client-server network using markup language techniques,An apparatus and method for determining a program neighborhood of a client node in a client-server network is described. The program neighborhood of the client node includes application programs hosted by application servers on the network. The present invention enables a user of a client node to learn of these application programs. The user is not required to know where to find such applications or to manually establish links to such applications. To make the client node aware of its program neighborhood a host server collects application-related information corresponding to application programs hosted by the servers in the network. The application-related information can include the application name the server location of the application minimum capabilities required of client nodes for executing the application and those users who are authorized to use that application. User credentials are received from the client system. The user credentials are used to filter the application-related information. Information representing those application programs that are available to the client node is transmitted from the host server to the client system for display. In a Windows-based client node the information can be represented by a graphical icon for each available application program.,177,92,,
7321936,PC,"Ardence Delaware, Inc",30447777,Computing Devices/Client Devices|Computing Devices/Data Streams|Virtual Server/Client Devices|Virtual Server/Virtual Disk,4/18/2002,2002,3/9/2024,System for and method of streaming data to a computer in a network,A system for and method of rapidly streaming data to one or more client devices such as personal computers (PC's) from a server employing virtual disk emulation and broadcasting or multicasting of data residing on a network server. In some embodiments the streamed data includes files necessary to boot and configure the one or more client devices the data including hibernation O/S and application files.,239,92,,
7490166,PC,"Citrix Systems, Inc.",26902328,Other Topics,5/26/2000,2000,12/12/2025,Remote control of a client's off-screen surface,The performance of distributed systems can be improved when a server remotely controls off-screen surfaces at a client coupled to the server via a communications network. The server instructs the client to form an off-screen surface exhibiting a number of particular attributes. The client selects and allocates a particular memory region and forms the off-screen surface therein as instructed by the server. The server subsequently provides the client with an indicia of graphical data and instructs the client to locate the graphical data and to copy the data into the off-screen surface. In response to an error condition the server transmits a duplicate of the off-screen surface to the client with instructions to update the client's on-screen surface using this duplicate surface.,94,92,,
7117243,PC,"Citrix Systems, Inc.",25516341,Other Topics,10/2/2001,2001,1/9/2024,Methods for distributed program execution with file-type association in a client-server network,The present invention relates to a method for enabling distributed execution of a program. In one aspect the method includes the step of receiving a mapping specifying an association between a type of data file and an executable program for execution on a server. The method also includes the steps of presenting a graphical depiction of a data file stored on a client system and receiving a selection of the graphical depiction of the data file. The method further includes the steps of identifying an executable program associated with the type of the selected data file using the received mapping and sending a request to execute the identified executable program.,161,92,,
7644434,PC,"Citrix Systems, Inc.",30003796,Other Topics,4/25/2002,2002,1/7/2025,Computer security system,A method of providing access to an authenticated user and restricting access to an unauthorized user of a computer system is provided. The method includes determining whether a user is authenticated to access at least one resource included in the computer system. The method also includes establishing a session and a session identifier such that the user has access to the at least one resource if the user is authenticated to access the at least one resource. The method also includes changing the session identifier each time the user completes an interaction with the computer system during the session.,361,92,,
7877463,PC,"Citrix Systems, Inc.",26688949,Other Topics,4/10/2001,2001,12/22/2022,Method and systems for providing access to dynamic content via static pages,A system and method for providing access to dynamic content via static pages. A page or portion of a page is received containing at least one executable element and at least one static element. The at least one executable element is identified and then processed to produce output. A static page is created comprising the produced output. In some embodiments static elements linked to executable elements are replaced with static links referencing said executable elements. In other embodiments a page comprising a single form is created from a page comprising at least two forms.,178,92,,
7028025,PC,"Citrix Systems, Inc.",26902328,Transport Mechanism/File Name|Transport Mechanism/Client and Server|Session Key/Graphical Data,5/26/2000,2000,12/12/2022,Method and system for efficiently reducing graphical display data for transmission over a low bandwidth transport protocol mechanism,The present invention improves the performance of distributed systems by reducing the amount of graphical data transmitted between an application server and a thin client. The encoding technique used for graphical data is adapted in response to the repetitiveness of the graphical data during a particular client-server session. Indexes are maintained that are indicative of this repetitiveness and which identify a particular location in the client's cache memory storing the graphical data. Where the index is not found but a fuzzy key indicates a strong likelihood that the graphical object is located at the client the client's persistent storage memory is searched for a file name corresponding to the fuzzy key and which stores the graphical object therein.,111,92,,
7873965,PC,"Citrix Systems, Inc.",26944358,Remote Machine/Remote Application|Remote Machine/Step of Requesting,12/12/2000,2000,10/3/2022,"Methods and apparatus for communicating changes between a user-interface and an executing application, using property paths",A method for detecting a change in a current state of a property associated with an element of a user-interface includes the step of associating the element with a property path including a concatenation of a plurality of identifiers defining a path through a plurality of application components to a property at the end of the concatenation. The property path is mapped to a current state of the property at the end of the path. A request is received from a local machine for a change in a state of a property mapped to one of said plurality of concatenated identifiers defining the property path. The request for the change is sent to a remote machine. The remote machine applies the change. The local machine updates the element of the user-interface associated with the property path responsive to the change and the received regeneration.,338,92,,
